Customer Remarks,CSAT Score,cleaned_remarks
"I don't like your servic waste hai time tha,??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????",1,like servic waste hai time tha
I'm happy ,5,happy
Not connected to blututh any mobail,1,not connected blututh mobail
Worn sellers for incorrect product send,5,worn sellers incorrect product send
Customer ko chutiya mt banao,5,customer ko chutiya mt banao
It was nice,5,nice
  thanks ??,5,thanks
Shopzilla Not support me,3,shopzilla not support
Great ,5,great
Good ,5,good
Nice ,4,nice
Very good,4,good
Make Easy contact ,4,make easy contact
I raised request 2 times but issue not resolved ,1,raised request 2 times issue not resolved
Thank you ,4,thank
She was talking to better and understood my problem ,5,talking better understood problem
Good,4,good
The your service very poor,1,service poor
Please use product authentication related images.,5,please use product authentication related images
verry good,5,verry good
Very good ,5,good
Customer executive behave good and also have good knowledge.,5,customer executive behave good also good knowledge
Very very good customer service thanks,5,good customer service thanks
"Recently the grocery baskets are been short delivered inspite of open delivery of the sealed basket. This means at the  packing level, it has been short packed but the invoice is correct.",5,recently grocery baskets short delivered inspite open delivery sealed basket means packing level short packed invoice correct
Yes,4,yes
not happy with the executive resolution ,1,not happy executive resolution
Good ,5,good
I am very satisfied and thanks for resolve my problem,5,satisfied thanks resolve problem
Shd,1,shd
I'm very happy ,5,happy
Good,5,good
Customer support is politely &lovely??,5,customer support politely lovely
Ok,5,ok
Thxs,5,thxs
Make policies more flexible,5,make policies flexible
Happy to talk with an agent...Issue was resolved,5,happy talk agent issue resolved
Nice ,5,nice
Ok,4,ok
Good ,5,good
Nice to informing ,5,nice informing
I am very happy to customer service ,5,happy customer service
He listened to my problem and gave a good solution.,5,listened problem gave good solution
Please give me the replacement of bata derby shoes as soon as possible,4,please give replacement bata derby shoes soon possible
Good,5,good
Very good,5,good
done,5,done
My product is damaged and I want to return ,1,product damaged want return
I request you guys please come for  picking up the product  for which I have inquired several times. From last 20 days please ask your logistics team to cordinate  and pick up product,5,request guys please come picking product inquired several times last 20 days please ask logistics team cordinate pick product
Very good employee ,5,good employee
"Not satisfied with the return policy, I am unable to return the product and killed every one time, still found return request cancelled",1,not satisfied return policy unable return product killed every one time still found return request cancelled
"In case of call disconnect don't received call back, again I have to raise the issue and explain everything.",5,case call disconnect received call back raise issue explain everything
Delivery ,5,delivery
Very good behave and helpfull,5,good behave helpfull
Bahut achha ,5,bahut achha
She is good no improvement requires,5,good no improvement requires
Voice was not clear,1,voice not clear
Nice sir,5,nice sir
Billing,1,billing
Not much support provided ,1,not much support provided
I am happy for Shopzilla costmer care ????,5,happy shopzilla costmer care
Thoo,1,thoo
Good exicutive concern ,5,good exicutive concern
Good,5,good
Good jobs ,5,good jobs
All good,5,good
Good response,5,good response
Happy with the service and detailed explanation about by product issue thank you ??????,5,happy service detailed explanation product issue thank
I want to address my product warranty ,1,want address product warranty
Very good,5,good
I have talked to the executive he told me that product will be delivered today before 9pm but now it shows it will deliver after 2 days. why 2 days extended I want reason ,5,talked executive told product delivered today 9pm shows deliver 2 days 2 days extended want reason
Very good,5,good
Hallp ,5,hallp
Good,4,good
Very nice ,5,nice
Bad policy for customer support sellers duping people money,1,bad policy customer support sellers duping people money
Good sarvis ,5,good sarvis
This customer executive has no idea what to say very dissatisfied ,1,customer executive no idea say dissatisfied
Zero response customer,1,zero response customer
Bad,1,bad
Good ,5,good
So humble and helpful service ,5,humble helpful service
Happy,5,happy
Provide full details of free promo code which comes with the orderd products,5,provide full details free promo code comes orderd products
Good ,4,good
"please,   provide the customer with their goods on time",5,please provide customer goods time
Very nice,5,nice
Problem solve ho gaye ,5,problem solve ho gaye
Thanks??,4,thanks
All right,5,right
Nice,4,nice
No all fine And i love my country,5,no fine love country
Nice talking ,5,nice talking
Agent way of talking is good and thank you for the support ??,5,agent way talking good thank support
It very good but try reaching fast,5,good try reaching fast
SuperBuy>>>>>>>>>>>>>>>Shopzilla??. Shopzilla ki MKC.,4,superbuy shopzilla shopzilla ki mkc
Nice to solve problem ,5,nice solve problem
Thankyou Mr karan,5,thankyou mr karan
Good,5,good
Return and refund should be done on time.,5,return refund done time
I've been asked to wait for a base resolution so I cannot give feedback to the best of my abilities ,4,asked wait base resolution not give feedback best abilities
Great Men try him best thanks regarding. ,5,great men try best thanks regarding
"From last 3 days, my issue not resolved even I m still on hold from last 20 minutes ",1,last 3 days issue not resolved even still hold last 20 minutes
Good girl,5,good girl
Good ,5,good
Please check on my issue,5,please check issue
Have Bengali speaking people,4,bengali speaking people
Gave him csat,4,gave csat
Worst experience to recieve my products ,4,worst experience recieve products
Please reduce down the time in solution,5,please reduce time solution
Nice to talk with her.Thank you,5,nice talk thank
Very very nice I am happy,1,nice happy
Ntg,4,ntg
Good ????,5,good
You people accept the return and again avoid coming to pick deliveries by saying multiple fake reasons and again suddenly cancels my return saying the reason is not acceptable what rubbish is this too worst customer service never gonna buy from Shopzilla again cheap tricks to cheat customers SuperBuy is 10000 times better in providing good customer service.,1,people accept return avoid coming pick deliveries saying multiple fake reasons suddenly cancels return saying reason not acceptable rubbish worst customer service never gon na buy shopzilla cheap tricks cheat customers superbuy 10000 times better providing good customer service
I love to order my favourite things it's really beautiful n safety delivery ??,4,love order favourite things really beautiful n safety delivery
Useless customer support ,1,useless customer support
Good customer service.. I m happy with him,5,good customer service happy
Excellent,5,excellent
issue is still not resolved ,2,issue still not resolved
Very good ,5,good
Good job ,5,good job
"Return of poor quality products & refund process to be quicker & instant, without giving 5 days for resolution",4,return poor quality products refund process quicker instant without giving 5 days resolution
Ru turn,5,ru turn
Nice agent,5,nice agent
Was quite well while talking but if my problem could have resolved that time only it would be lovely. I know it was kept on high priority. Then also keep it up.,4,quite well talking problem could resolved time would lovely know kept high priority also keep
Good,5,good
Good,5,good
"Kindly, fullfil the orders after being placed. ",5,kindly fullfil orders placed
Good ,5,good
Very strong,1,strong
Good customer support service,5,good customer support service
Good,5,good
Very poor ,1,poor
Please solve my issue as soon as possible.,5,please solve issue soon possible
There should be some hierarchies beyond the customer support. Sometimes the customer support is not in the authority of resolving the issue,1,hierarchies beyond customer support sometimes customer support not authority resolving issue
No positive response from any of your representative for my query resolution my query is still pending from lat 6 days,1,no positive response representative query resolution query still pending lat 6 days
Fhb,5,fhb
Thank you ,5,thank
This man have great problem solving skills. High chance of being relationship manager ??. All the best,5,man great problem solving skills high chance relationship manager best
Plz replace my order it is difective,4,plz replace order difective
I'm happy,5,happy
Please understand the issue of the customer so that they don't have to call multiple times for the same issue,1,please understand issue customer call multiple times issue
Good communication,4,good communication
Excellent ,5,excellent
Issue not resolved ,3,issue not resolved
Shopzilla service andExecutives are very good and helpful.Now my Easyfone problem is not yet resolve please do the needful as early as possible thanks ??,5,shopzilla service andexecutives good helpful easyfone problem not yet resolve please needful early possible thanks
Pls work on customer needs ,1,pls work customer needs
?? good job ,5,good job
"Good,very good service ",5,good good service
Best??,5,best
Very Good service to me thank you Shopzilla ,5,good service thank shopzilla
Very responded associate,5,responded associate
I am Very Happy ,5,happy
Escalated ,1,escalated
Please do it customer service support quick and delivery fast as per given time please do not Exceed time limit,5,please customer service support quick delivery fast per given time please not exceed time limit
You should ask the customer what is the problem and resolve the issue on time as per the customer need so that one will be happy to purchase the product from Shopzilla.,1,ask customer problem resolve issue time per customer need one happy purchase product shopzilla
Please take accountability of offers displayed on the app regardless of the offer being displayed is put forth by Shopzilla or a Shopzilla approved  .,5,please take accountability offers displayed app regardless offer displayed put forth shopzilla shopzilla approved
Good ,3,good
Very good,5,good
Nice ,5,nice
Chose proper delivery partner ,1,chose proper delivery partner
your executive has put my call on hold. and disconnect without any notification.,1,executive put call hold disconnect without notification
Good communication ,5,good communication
Very good ,5,good
Please hire proper delivery agents. I have been scammed by one agent and as it was open box delivery which i was not aware i have to face many difficulties and yet my problem is not solved ,5,please hire proper delivery agents scammed one agent open box delivery not aware face many difficulties yet problem not solved
Best information ??,5,best information
The executive got my point and gave solution.,5,executive got point gave solution
Resolve my issue ASAP.,5,resolve issue asap
The customer support are very good talking ,5,customer support good talking
Keep fast service ,5,keep fast service
Everything is good ,5,everything good
we had a good time talking about it.,5,good time talking
Impressive ,5,impressive
Good service,5,good service
Good luck ,5,good luck
Very good ??,5,good
Nice conversation ,5,nice conversation
If I have given my alternate number or email then why you are not generating OTP there delivery agent came to my door and returned but I didnt get otp on alternate number.this is very bad I am angry with such a policy.,1,given alternate number email not generating otp delivery agent came door returned didnt get otp alternate number bad angry policy
No. But the call person who solve my issue is great and gentle . I really appreciate him. ,5,no call person solve issue great gentle really appreciate
Super ??,5,super
He is very polite and very understanding!?? Lots of love for him!,5,polite understanding lots love
Good,5,good
Thank,5,thank
Nice,5,nice
Good,5,good
Malayalam language option was showing errors. plzz fix it,5,malayalam language option showing errors plzz fix
nice person,5,nice person
Super,5,super
Good service,5,good service
Customer support is polite behavior and well good. ,4,customer support polite behavior well good
Excellent ??,5,excellent
I have received wrong item and use product,1,received wrong item use product
Stop cheating with customer. ,1,stop cheating customer
Good ,5,good
Overall Good and satisfied ,5,overall good satisfied
All okay,5,okay
Good,5,good
No extra information with Customer executive. They have the same information that the customer has on the app.,1,no extra information customer executive information customer app
Very good ,5,good
Shopzilla is very bad app ,1,shopzilla bad app
"For, books there should be flexible policy, as seller does not provide correct or complete information,they send us duplicate copy or poor quality book, I need refund , only replacement option is given which is totally unfair and if not taken holistically I will have to reach consumer forum ..I need my hard earned money back..",4,books flexible policy seller not provide correct complete information send us duplicate copy poor quality book need refund replacement option given totally unfair not taken holistically reach consumer forum need hard earned money back
Thank ,5,thank
"Please provide seller information, as both Shopzilla and customer is helpless if the seller is giving unsatisfactory service post delivery.",3,please provide seller information shopzilla customer helpless seller giving unsatisfactory service post delivery
Experience with exicutive was good ,5,experience exicutive good
Na,5,na
Good job,5,good job
  is giving misleading information on web about his item being sold through Shopzilla ,5,giving misleading information web item sold shopzilla
Good,3,good
Nice ,4,nice
The lady from the customer care team tried to address the issue which was appreciable as most of the persons have a trained negative approach when the customer try to reach them. Hence I find the person helpful for putting a little more effort.,5,lady customer care team tried address issue appreciable persons trained negative approach customer try reach hence find person helpful putting little effort
Good,5,good
 mobile hang chal  ,1,mobile hang chal
Fraud company. You all are liars you robbed us by not returning 6329rs . You all are thiefs first you picked up my item then you cancelled it at the same evening . I'll file case on all of you just wait and watch.,1,fraud company liars robbed us not returning 6329rs thiefs first picked item cancelled evening file case wait watch
Very good ??????,5,good
Na,5,na
Very nice ,4,nice
Good servise,5,good servise
Very good ,5,good
Nice,4,nice
Very good ,4,good
Very vad product ,1,vad product
"Ritika was extremely helpful lady, hope my concern will be sort out soon. 100 stars for ritika, cheers lady enjoy your weekend. ??",5,ritika extremely helpful lady hope concern sort soon 100 stars ritika cheers lady enjoy weekend
Please give us option to select delivery date & time as per our convenience as we get   ,3,please give us option select delivery date time per convenience get
Experience was good ,4,experience good
Some good some bad,5,good bad
Keep it up. ,5,keep
"Just change ur microphones as there was lot of disturbance during the call. Anyways, thank you so much for co operating with me Ms.(Sorry i forgot your name??).I dont know my feedback matters you or not but i think   is a nice application where we can trust on this and where we have a good customer support executives.Well i dont know if this will be taken seriously or not but I request   to provide some incentive, hike on salary, or a promotion in position to the executive with whom i have spoken with THANK YOU SO MUCH.????",5,change ur microphones lot disturbance call anyways thank much co operating ms sorry forgot name dont know feedback matters not think nice application trust good customer support executives well dont know taken seriously not request provide incentive hike salary promotion position executive spoken thank much
Please display your policy in simple way each person understands easily ,4,please display policy simple way person understands easily
Very good ,5,good
All good ,4,good
Rupees nehi ay,1,rupees nehi ay
Good,5,good
Firstly you should resolve the query with given time dont irritate customer by giving next date ,1,firstly resolve query given time dont irritate customer giving next date
Some issue delivery problem but customer support is good,4,issue delivery problem customer support good
Very Sincere Talking Mam ,5,sincere talking mam
Very bad behaviour ,1,bad behaviour
Very polite my issue listening.....Thanks ??,5,polite issue listening thanks
No,4,no
Non-delivered products showing delivered,4,non delivered products showing delivered
"customer support is very impressive. and I am full satisfied with  support. Thanks a lot  Impressive ,   I am full satisfied with support. Thanks ",5,customer support impressive full satisfied support thanks lot impressive full satisfied support thanks
Late resolution,5,late resolution
Good supporr,5,good supporr
Very bad and waste of time ,1,bad waste time
Full support amazing helpfulness ,5,full support amazing helpfulness
Excellent ,5,excellent
Very polite and respectful. ,5,polite respectful
Flexible policy,4,flexible policy
Good behaviour,5,good behaviour
Super costumer service ,5,super costumer service
Good customer support ????,4,good customer support
Thank you so much sir ,5,thank much sir
Thanks ,4,thanks
Good information ,5,good information
Do anything for trust you.,4,anything trust
Fuddu h service ,1,fuddu h service
Ok,4,ok
Same product received but   nhi laga is   return krna chti ho,5,product received nhi laga return krna chti ho
Good service,5,good service
Good ,5,good
Very good ,5,good
Sab se bad service hai ,1,sab se bad service hai
Mam aap itna help kiye isliye thank isliye thank u,5,mam aap itna help kiye isliye thank isliye thank u
All over good ,5,good
Very nice ,5,nice
Good response ,5,good response
  hi wahiyat delivery facility hai apki na to aap problem ka solution dete ho or na hi delivery agent same address pr delivery   or na hi technician aata hai installation   acha SuperBuy se kr lo,1,hi wahiyat delivery facility hai apki na aap problem ka solution dete ho na hi delivery agent address pr delivery na hi technician aata hai installation acha superbuy se kr lo
Shopzilla delivery wrong product ,5,shopzilla delivery wrong product
My issue are resolved ,4,issue resolved
  Shopzilla ,1,shopzilla
Channelize a way wherein the raised complaint can be followed up by the customer too ,3,channelize way wherein raised complaint followed customer
Try to resolve issue with short span of time,5,try resolve issue short span time
Good and polite,5,good polite
Customer care executive told he will share product helpdesk number or email I'd to address my concern but it's not shared ,1,customer care executive told share product helpdesk number email address concern not shared
please keep valid seller ,5,please keep valid seller
Don't do fraud and420,1,fraud and420
Helpful information he gave,5,helpful information gave
Sab badiya h aap sunao,5,sab badiya h aap sunao
Lovely,5,lovely
Thanks to customer care,5,thanks customer care
good ,5,good
Awesome ,5,awesome
There is something terribly wrong in your delivery service . I am a Shopzilla plus member and I have ordered three time for phone delivery but it was not delivered. I will take it from different eportal. Now after giving three chances sorry.,3,something terribly wrong delivery service shopzilla plus member ordered three time phone delivery not delivered take different eportal giving three chances sorry
My problem solved so good customer service ,1,problem solved good customer service
No one you are so excellent and satisfied for cosmer executive,5,no one excellent satisfied cosmer executive
Excellent ??,5,excellent
Now a days   takes lot of time to deliver a product. This time period was less. Try to give the product as fast as possible. ,4,days takes lot time deliver product time period less try give product fast possible
Not good products,1,not good products
"Call quality was bad, voice was blocking again & again due to some mic related issue.",5,call quality bad voice blocking due mic related issue
Call me and resolve my problem ,1,call resolve problem
Na,5,na
So bad service very very badly ,1,bad service badly
Happy,5,happy
Response Quickly ,1,response quickly
Check products before dispatch. How is only 1 unit delivered out of the pack of 6. Veey disappointing ,5,check products dispatch 1 unit delivered pack 6 veey disappointing
Costumes care  ne misslead kiya Galat jankari diya ,1,costumes care ne misslead kiya galat jankari diya
Worst support issue not resolved ,1,worst support issue not resolved
while interacting with customer service he put me on hold and then disconnect my call as he is not unable to solve mt issue and not supporting at all  ,1,interacting customer service put hold disconnect call not unable solve mt issue not supporting
So nice skill good Excellent response ,4,nice skill good excellent response
Very effective customer support,5,effective customer support
Pretty quick response,5,pretty quick response
Good job continue....,5,good job continue
She is nice female and she help very well ,5,nice female help well
I want why my delivery is delayed.but I have not received answer so far.how can I say my problem is resolved.,3,want delivery delayed not received answer far say problem resolved
Some links are not clickable please make sure to upload tested data only.,4,links not clickable please make sure upload tested data
The details could have been easily updated in the app itself. ,4,details could easily updated app
Wxerg fyenqcrezwcwzwxtxwccwctvzrgrcy,5,wxerg fyenqcrezwcwzwxtxwccwctvzrgrcy
"I am waiting whole Sunday for product delivery and no updated, and no wonder where Shopzilla is loosing customer!",1,waiting whole sunday product delivery no updated no wonder shopzilla loosing customer
Good,5,good
Very good ,5,good
"RESOLVE ISSUE AT EARLIEST, REMOVE BUGS IN YOUR SYSTEM /SOFTWARE ",2,resolve issue earliest remove bugs system software
Excellent behavior of customer support executive,5,excellent behavior customer support executive
Nice ,4,nice
Very good,5,good
Amazing communication skill ?? i appreciate ,5,amazing communication skill appreciate
Customer care per batchit karke bahut achcha  ,5,customer care per batchit karke bahut achcha
Ap log s acche s baat huyi ap logo n help ki but please mera parsal     or paise ane   humble request thank you Shopzilla team supported... ,5,ap log acche baat huyi ap logo n help ki please mera parsal paise ane humble request thank shopzilla team supported
Good service ,5,good service
Very good service and nice collection  ?? ????????????,4,good service nice collection
Excellent Customer care service.,5,excellent customer care service
No resolution of my problem.. I'm disappointed.... tired many times . I'm fed-up now from services of Shopzilla. Customer support is also worsted. Disconnect call during calls . seriously no support.helpless,1,no resolution problem disappointed tired many times fed services shopzilla customer support also worsted disconnect call calls seriously no support helpless
Good ,5,good
Thanks for helping me ,4,thanks helping
Customer Care Team Is great but I am unhappy from Shopzilla Products Quality ,4,customer care team great unhappy shopzilla products quality
Product picture see 3 perfume but receive only 2 perfume 1 missing. Customer care support was good,4,product picture see 3 perfume receive 2 perfume 1 missing customer care support good
Very nice ??,5,nice
Issue not resolve,1,issue not resolve
Good ??,5,good
Best ,5,best
The customer care executive has resolved my problem very quick ,5,customer care executive resolved problem quick
Thanks ,5,thanks
Very good,5,good
He can't able to solve the issue ,3,able solve issue
I am impressed ,5,impressed
Nice,5,nice
Exceptionally poor Customer Care Service. I had a harrowing time dealing with your team.,1,exceptionally poor customer care service harrowing time dealing team
Please update return process in website. There is error occurred during I apply for return.,5,please update return process website error occurred apply return
It was outstanding experience ,5,outstanding experience
Good executive costumer ,4,good executive costumer
Very good ,5,good
last one month we are facing the delivery issue in KANCHEEPURAM district in   kindly check at your end is there any issue at delivery agents of  Urapakkam and Mambakkam ,5,last one month facing delivery issue kancheepuram district kindly check end issue delivery agents urapakkam mambakkam
Monika it's very happy parsan ,5,monika happy parsan
Nice explanation very easy to understand thank you ,4,nice explanation easy understand thank
Ok,5,ok
Good ,5,good
Please use best noise cancelling headphones with mic for better sound receive. ,4,please use best noise cancelling headphones mic better sound receive
Customer executive don't know what   trying to say and they don't know what is the process ,1,customer executive know trying say know process
Good,5,good
Customer care number need to be connected immediately and resolve issues must be faster without time taken longer ,5,customer care number need connected immediately resolve issues must faster without time taken longer
Nobody from customer support taking the issue seriously ,3,nobody customer support taking issue seriously
Good,5,good
Mera ekadam wapas,1,mera ekadam wapas
Super ,5,super
Executive supportive and nice person ,5,executive supportive nice person
Thanks suport,5,thanks suport
 Good ????N,5,good n
Awesome behaviour ,5,awesome behaviour
Thank u for your support ,5,thank u support
Less time,5,less time
Time related to deliver,5,time related deliver
Give a easy access to customer support,5,give easy access customer support
Make policies more customer centric. Fast resolution. Senoiors not available on calls with customer support,1,make policies customer centric fast resolution senoiors not available calls customer support
Sinha ji is amazing,5,sinha ji amazing
No,5,no
Good,5,good
Pick the call fastly.,5,pick call fastly
Easily make decisions with resolved my issue. Thank you so much. ,5,easily make decisions resolved issue thank much
Return and refund should be simple.,5,return refund simple
good customer support bt tanima,5,good customer support bt tanima
direct connect to customer care is required. Your Automatic option in help centre are not user friendly,5,direct connect customer care required automatic option help centre not user friendly
Good ,5,good
Good ,5,good
As I changed my delivery address through customer care but my address was not change and delivered the product on the given address only.,1,changed delivery address customer care address not change delivered product given address
Customer service is too good ,5,customer service good
Pls callback as soon possible ,5,pls callback soon possible
"Please,send item on time. Previously Shopzilla delivery was in time but now delivery was too late that's why I find others from that's perspective ",5,please send item time previously shopzilla delivery time delivery late find others perspective
Not working,5,not working
Nice ,5,nice
Good response,5,good response
My one issue is not solved over the 2 year.by the Shopzilla castomar care.and other support is ok.,4,one issue not solved 2 year shopzilla castomar care support ok
I did not found my mother tongue  included in the language support. Being maharashtrian it's disappointing to see that 's official language is not included here.,5,not found mother tongue included language support maharashtrian disappointing see official language not included
"very disappoint service,",1,disappoint service
She perfectly solbed my problem and thanks for Shopzilla rapport ,5,perfectly solbed problem thanks shopzilla rapport
Thank you for solving problems.. ,5,thank solving problems
Good,5,good
Cheated by Shopzilla and going to raise a case in consumer court with proofs and evidence,1,cheated shopzilla going raise case consumer court proofs evidence
Thank you for supporting please solve this issue really thanks ?? you,5,thank supporting please solve issue really thanks
Make some esay returns,5,make esay returns
Should reduce customer support call waiting time ,5,reduce customer support call waiting time
Good service,5,good service
Always Respect All Person ,5,always respect person
Shopzilla eak scam h froud h ,1,shopzilla eak scam h froud h
Fraud done by Shopzilla. Received an invalid spotify premium redeem code from Shopzilla,1,fraud done shopzilla received invalid spotify premium redeem code shopzilla
Good very good ????,5,good good
Mam wo so polite & nice person. She was able to understand my query very well. ,5,mam wo polite nice person able understand query well
Good service,5,good service
Missing ,1,missing
Happy,5,happy
Good,5,good
"Sir,   se   to jo delivery boy cheat   delivery boys/agents k rules strict kiye jaye because mene aapke platform se AC & shoes order kiye jinke model/ products change aaye gye or me office tour pr hone k vjh se timely model/product type check nhi kr paya so kafi lost hua so delivery agent   check krke hi item delivery krna chahiye jiske regarding strict role ho ",5,sir se jo delivery boy cheat delivery boys agents k rules strict kiye jaye mene aapke platform se ac shoes order kiye jinke model products change aaye gye office tour pr hone k vjh se timely model product type check nhi kr paya kafi lost hua delivery agent check krke hi item delivery krna chahiye jiske regarding strict role ho
Excellent,5,excellent
Good,4,good
Better speaking ,5,better speaking
i want my refund today,3,want refund today
"I have raised many times my replacement related issue but six and seven times castamer care executive not raised properly my complaint against defective, damage,used and another product delivered product. Always accepted my replacement issue but not resolved yet delivery agent comes many times but refused to pick up the product.",1,raised many times replacement related issue six seven times castamer care executive not raised properly complaint defective damage used another product delivered product always accepted replacement issue not resolved yet delivery agent comes many times refused pick product
I want my refund,1,want refund
Super service ,5,super service
All good,5,good
Good ,5,good
Plz My replacement fst,5,plz replacement fst
Good ,3,good
Very good ,5,good
Make policies change on products,5,make policies change products
Nice aunty,5,nice aunty
Over all good job,5,good job
Thank you ,5,thank
Good job,5,good job
Confirm date mansion first ,1,confirm date mansion first
My problem not solve,1,problem not solve
Good ,5,good
Don't put the call on hold everytime ,3,put call hold everytime
Nothing ,5,nothing
Sorry mam -           Jaldi   h mem aap. PTA hi nhi chalta kya boli aap.,1,sorry mam jaldi h mem aap pta hi nhi chalta kya boli aap
Good ,5,good
Thanks for Shopzilla customer support,5,thanks shopzilla customer support
Good,4,good
Nice feed back,5,nice feed back
All ok thank you ,5,ok thank
There is no solutions of customer problem they only provide timelines to customers which is already showing on app why there is customer care when customer will do everything as already given on Shopzilla side they are there to say only wait for a 24 hour 72 excluding that I have never ever listen any solution of problem??,1,no solutions customer problem provide timelines customers already showing app customer care customer everything already given shopzilla side say wait 24 hour 72 excluding never ever listen solution problem
Only supportive team is best nothing another,5,supportive team best nothing another
My issue was resolved and the customer support assistant was quick to understand my issue. But I tried several times before to reach and receive a call back but the mode was not so easy. Please look into that easy communication way or a call back from them which SuperBuy does and Shopzilla still lacks,4,issue resolved customer support assistant quick understand issue tried several times reach receive call back mode not easy please look easy communication way call back superbuy shopzilla still lacks
Bad service ,1,bad service
Atleast footwear align in return policy ,1,atleast footwear align return policy
I am happy ,5,happy
good,4,good
No,5,no
45,5,45
Thanks ,5,thanks
Nice,5,nice
Good ,5,good
Good job ,5,good job
Happy ,5,happy
Solve my issue ,1,solve issue
My issue was never solved ,1,issue never solved
solve my problems quickly,5,solve problems quickly
Bad experience ,1,bad experience
Happy,5,happy
Good ,4,good
Excellent ,5,excellent
Very nice treat ,5,nice treat
Need replacement ,1,need replacement
W,1,w
Spoke person was very polite ,5,spoke person polite
Good,5,good
Delivery soon,5,delivery soon
Thank you ,5,thank
Good ,5,good
Excellent ,5,excellent
Cyg46fed,1,cyg46fed
Love you ??,5,love
Best ,5,best
Kindly ensure to resolve my problem asap,5,kindly ensure resolve problem asap
Good,5,good
Good ,5,good
Very good service ,5,good service
Support Agent not understanding the concern,1,support agent not understanding concern
Good support for customer care ,4,good support customer care
I asked many times for supervisor or customer service staff's incharge to talk. But either he not forward call or his incharge not responded. Incharge should respond ,1,asked many times supervisor customer service staff incharge talk either not forward call incharge not responded incharge respond
Send my money as soon as possibleExcellent costumers service ,5,send money soon possibleexcellent costumers service
Awesome,5,awesome
Shopzilla service very bad other services very good actually I order air dopes but Shopzilla delivered not working Air dopes this is not acceptable ,1,shopzilla service bad services good actually order air dopes shopzilla delivered not working air dopes not acceptable
Mera paisa wapas kro ,1,mera paisa wapas kro
Very bad service,1,bad service
Very good,5,good
Friendly,5,friendly
So kind and cooperativr?,5,kind cooperativr
Thanks for supporting me,5,thanks supporting
They are not solving any problems,1,not solving problems
Problem is not slove,1,problem not slove
????? ???? ???? ?? ?? ro ????? ?? ?? ??  ??? ?? ???? ?? ?? ???? ??? ???????? ???? ?? ????,1,ro
My problem not ,3,problem not
Na,5,na
This guy is very halping me.Thank you  ??,5,guy halping thank
"Owner is not capable person.Product website is not working properly to resolve my problem,My personal thought about the owner product to check Shopzilla properlyThat's gaven waranty service of product website is working or not working....",4,owner not capable person product website not working properly resolve problem personal thought owner product check shopzilla properlythat gaven waranty service product website working not working
Back end team contact option should be given if a complaint has taken more that 3 days to be resolved. I have been trying since more than a week but no body is helping me with any update on my complain. It seems like customer support team and back end team is cheating to the customer. ,1,back end team contact option given complaint taken 3 days resolved trying since week no body helping update complain seems like customer support team back end team cheating customer
Thanks,3,thanks
Love you ??,5,love
Tx,5,tx
Bad ?? return request daily complent but not solution my ,1,bad return request daily complent not solution
Best customer care service ?? ?? ,5,best customer care service
Good,5,good
Everything is good thanks Shopzilla,5,everything good thanks shopzilla
Thank you ,5,thank
Poor quality ,1,poor quality
Superb performance of talking and we'll efforts to solve any questions...well done Shopzilla and his team..,5,superb performance talking efforts solve questions well done shopzilla team
Very very good ,5,good
We need to spend more time to customer connect due to this Shopzilla need to provide option to connect directly in menu,5,need spend time customer connect due shopzilla need provide option connect directly menu
"It's the Shopzilla policies that are not good as if the product delivered is not satisfactory then what's the point ,  the refund is always available in SuperBuy and not in Shopzilla if I don't get satisfactory product then the service provided is worst  , in case of SuperBuy the options of refund is always there and no manipulation so build a good business by providing good product and even now when there is demand of online services is most the originality of product is still in doubt by many ",5,shopzilla policies not good product delivered not satisfactory point refund always available superbuy not shopzilla get satisfactory product service provided worst case superbuy options refund always no manipulation build good business providing good product even demand online services originality product still doubt many
Best ,5,best
Vary bad talking style and not resolved my issue ,1,vary bad talking style not resolved issue
Well done,5,well done
Good working ,5,good working
No thanks.,5,no thanks
Awesome Work She's Very Nice,5,awesome work nice
Awesome ,5,awesome
Very nice and supportive,5,nice supportive
"Please boycott those fraud sellers from Shopzilla who used to cheat customers. As per my experience I have ordered 3 pair of curtains but instead 3 pairs I only received a single curtain. However, in the invoice it is mentioned quantity as 3 but in the package I got only 1 that too 1 single curtain rather than 1 pair. I have been shopping from Shopzilla since a long but for the first time I have faced this issue. I hope the Shopzilla authority will resolve my issue and take necessary actions against the fraud sellers ",4,please boycott fraud sellers shopzilla used cheat customers per experience ordered 3 pair curtains instead 3 pairs received single curtain however invoice mentioned quantity 3 package got 1 1 single curtain rather 1 pair shopping shopzilla since long first time faced issue hope shopzilla authority resolve issue take necessary actions fraud sellers
Plz share all tha info about courier office to your customer care office so that they can inform to courier service about any delay,5,plz share tha info courier office customer care office inform courier service delay
Good,5,good
good talk nice ??i like it,2,good talk nice like
Good service,5,good service
"the executive i had word with was very polite and sounds so good , feelinf happy and satisfied with her service . overall better experience ",5,executive word polite sounds good feelinf happy satisfied service overall better experience
Not completed for my problem ,3,not completed problem
Not resolved my issue,1,not resolved issue
Hamare problem solve hone chahiye ,5,hamare problem solve hone chahiye
The customer service was very well.... They are very supportive??,5,customer service well supportive
Ok,4,ok
Good to behaviour and helpfully...happy,5,good behaviour helpfully happy
Pathetic experience ,1,pathetic experience
Very good ,5,good
